rejection.Risk,Lower.CI,Upper.CI,SSVS_results,rejection.Risk_Noise,rejection.interaction,rejection.SDIR,SDIR
Reject,0.04481995087634989,0.6778275881689139,"Gender, Age, ProgVar",Reject,Reject,Reject,1.0151355967396363
Reject,0.09874022564979415,0.6430539064528649,"Gender, Age, ProgVar",Reject,Reject,Accept,0.502435454123399
Accept,-0.07650964645406694,0.6106296491664588,"Gender, Age, ProgVar",Accept,Reject,Accept,0.34460521268728006
Reject,0.17975924348436761,0.7552874933226414,"Gender, Age, ProgVar",Reject,Reject,Reject,0.937404872182362
Reject,0.3600677212204619,0.9452633292519141,"Gender, Age, ProgVar",Reject,Reject,Reject,1.3612174738980183
Reject,0.20030371081812662,0.8147126456272262,"Gender, Age, ProgVar",Reject,Reject,Reject,1.0808942440968734
Reject,0.16112109844767536,0.7860600515901375,"Gender, Age, ProgVar",Reject,Reject,Reject,1.179499769917258
Accept,-0.31458466105231286,0.2428323667553338,"Gender, Age, ProgVar",Accept,Reject,Accept,0.7192468776989683
Reject,0.008774767979105508,0.49534448544588305,"Gender, Age, ProgVar",Reject,Reject,Accept,0.655913243540223
Reject,0.10742579389678841,0.5911408509121351,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9462658641204759
Accept,-0.0805817164770703,0.4825744365327314,"Gender, Age, ProgVar",Reject,Reject,Accept,0.41090780289729245
Reject,0.09049421370406852,0.693272516882113,"Gender, Age, ProgVar",Reject,Reject,Reject,1.0893838752456215
Reject,0.37527489676818,1.0380489353996105,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8622859377798573
Reject,0.22738903143097236,0.7943062369361523,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1866322087460748
Reject,0.01052753781026261,0.5842675026191215,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8637511274637071
Reject,0.22975615620944417,0.803954903274836,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8545104681359152
Reject,0.120958833625676,0.8166754187374932,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1097947688635998
Accept,-0.010526987487617073,0.5384260290889957,"Gender, Age, ProgVar",Reject,Reject,Accept,0.825593283128091
